ID,WAVELENGTH,FLUX,FLUX_ERR
4037-55631-0306,[ 3555.4944  3556.3142  3557.1323 ... 10325.231  10327.612  10329.994 ],"[1.5457519e-16 2.0652159e-16 1.1104845e-16 ... 2.4862634e-18 1.7986675e-17
 3.4325051e-17]","[4.5585235e-17 4.5931139e-17 4.2547160e-17 ... 1.9551621e-17 2.0598510e-17
 2.3962317e-17]"
4042-55626-0067,[ 3553.857   3554.6765  3555.4944 ... 10327.612  10329.994  10332.376 ],"[ 2.2201047e-16  1.2258098e-16  2.3173021e-17 ... -8.0166929e-18
  3.9164702e-17 -2.7080697e-17]","[1.1402664e-16 0.0000000e+00 6.8357868e-17 ... 1.9158264e-17 2.2526586e-17
 2.3200170e-17]"
4042-55626-0160,[ 3553.0396  3553.857   3554.6765 ... 10327.612  10329.994  10332.376 ],"[-2.3753922e-17 -5.2165487e-17 -4.9278425e-17 ...  1.5769687e-17
  6.5589176e-17  2.6711589e-18]","[9.4820051e-17 4.2472508e-17 4.2788534e-17 ... 2.8331101e-17 3.3532413e-17
 4.0172152e-17]"
4046-55605-0751,[ 3590.0457  3590.8735  3591.6995 ... 10356.193  10358.569  10360.958 ],"[ 7.9424857e-18  4.1851924e-17 -2.0422011e-17 ...  3.6496860e-17
 -3.0192542e-17 -8.0063056e-17]","[4.1841452e-17 4.2557890e-17 3.6807605e-17 ... 2.9874872e-17 3.2079364e-17
 3.2934504e-17]"
4051-55337-0958,[ 3592.526   3593.3542  3594.181  ... 10380.064  10382.458  10384.841 ],"[3.1066584e-17 3.5873738e-17 3.2554424e-17 ... 1.2363789e-17 2.9272271e-17
 4.6180329e-17]","[2.5538192e-17 2.6001185e-17 2.6037495e-17 ... 1.8792154e-17 0.0000000e+00
 3.0200020e-17]"
4055-55359-0798,[ 3583.4395  3584.264   3585.0903 ... 10377.672  10380.064  10382.458 ],"[ 2.1212842e-17 -2.8640755e-17  4.6821341e-17 ... -8.6475400e-17
 -4.3755512e-17 -1.0331973e-18]","[2.9770498e-17 2.8365701e-17 2.9545939e-17 ... 4.2018356e-17 0.0000000e+00
 2.2659081e-17]"
4057-55357-0258,[ 3576.0208  3576.8435  3577.6682 ... 10315.736  10318.104  10320.482 ],"[-3.8405076e-17 -5.1895793e-17 -6.5383426e-17 ... -1.7379104e-17
 -4.6959338e-17  8.9736019e-18]","[4.7721545e-17 0.0000000e+00 4.2710276e-17 ... 3.4810195e-17 2.3230856e-17
 1.2886858e-17]"
4057-55357-0574,[ 3588.3923  3589.22    3590.0457 ... 10368.116  10370.507  10372.898 ],"[ 2.9692479e-17  5.1518559e-17 -2.1630742e-17 ... -2.3653708e-17
 -2.7990691e-16  7.5964493e-16]","[4.3288221e-17 4.5699773e-17 4.3831265e-17 ... 6.5376471e-17 8.5327313e-17
 2.6360581e-16]"
4058-55358-0420,[ 3568.6177  3569.4385  3570.2617 ... 10306.237  10308.603  10310.9795],"[ 1.3154869e-17  1.7511753e-17  2.1868083e-17 ...  1.6000998e-17
 -1.1468780e-17  3.0453094e-17]","[3.45574355e-17 0.00000000e+00 3.07870139e-17 ... 2.04269705e-17
 1.04203118e-17 1.30251325e-17]"
4058-55358-0553,[ 3581.7893  3582.6133  3583.4395 ... 10358.569  10360.958  10363.348 ],"[ 8.6777440e-17  9.0556431e-17  9.0721451e-17 ... -2.6514646e-17
  5.3715928e-17  1.0256168e-16]","[7.8800474e-17 7.4759002e-17 7.0091057e-17 ... 5.2872710e-17 5.2306187e-17
 6.0204647e-17]"
4060-55359-0504,[ 3595.0098  3595.8367  3596.666  ... 10363.348  10365.737  10368.116 ],"[-1.1503909e-17  1.4423146e-17  2.7643453e-17 ...  4.4352627e-17
  8.6243393e-17 -8.1058122e-17]","[3.7754449e-17 3.9885395e-17 3.9911607e-17 ... 3.0076830e-17 4.8110674e-17
 6.8525151e-17]"
4086-55446-0416,[ 3566.1538  3566.9744  3567.7969 ... 10310.9795 10313.357  10315.736 ],"[-1.5126992e-16 -6.5125630e-17  2.1001171e-17 ...  2.5569982e-16
  2.6115880e-17 -1.5365728e-16]","[2.7179922e-17 0.0000000e+00 2.8041555e-17 ... 9.1227566e-17 4.4761340e-17
 2.4451614e-17]"
4087-55449-0760,[ 3588.3923  3589.22    3590.0457 ... 10387.236  10389.631  10392.016 ],"[ 1.9580097e-16 -6.6541869e-17  1.0008360e-16 ...  6.9290220e-17
  6.2537634e-17 -5.8382871e-17]","[4.4045955e-17 4.1066530e-17 4.2472892e-17 ... 3.5869493e-17 4.2768381e-17
 5.5729242e-17]"
4090-55500-0576,[ 3589.22    3590.0457  3590.8735 ... 10375.279  10377.672  10380.064 ],"[ 5.7663085e-17  4.6596788e-17 -7.0048053e-18 ...  1.2452256e-17
 -4.2207592e-17 -9.6868091e-17]","[3.4849271e-17 3.3891568e-17 3.0903322e-17 ... 6.8838255e-17 0.0000000e+00
 4.8641658e-17]"
4092-55477-0894,[ 3588.3923  3589.22    3590.0457 ... 10360.958  10363.348  10365.737 ],"[ 5.0309012e-17  1.4194868e-17  8.6597861e-18 ... -3.1572560e-18
  1.2562726e-17  9.6557537e-19]","[3.2056150e-17 3.0944291e-17 3.0637566e-17 ... 1.3930744e-17 1.6096905e-17
 9.7477155e-18]"
4095-55497-0014,[ 3562.8704  3563.69    3564.5117 ... 10306.237  10308.603  10310.9795],"[ 5.4661587e-17  6.5670253e-17 -3.1398833e-17 ...  1.1452272e-16
 -2.7181928e-17 -3.5766235e-18]","[6.1635199e-17 4.9549138e-17 4.5542890e-17 ... 4.6256985e-17 3.4330623e-17
 3.8224939e-17]"
4180-55679-0087,[ 3555.4944  3556.3142  3557.1323 ... 10327.612  10329.994  10332.376 ],"[ 1.3860236e-16  7.7111676e-17 -3.9089264e-17 ...  4.9518559e-18
  1.6868395e-18 -1.0275430e-17]","[8.9546351e-17 4.2930227e-17 2.9137500e-17 ... 1.6347461e-17 1.5980804e-17
 1.9556006e-17]"
4181-55685-0071,[ 3557.1323  3557.9507  3558.771  ... 10296.748  10299.122  10301.486 ],"[3.0020575e-17 4.4194907e-17 5.8365480e-17 ... 1.7947842e-16 3.2612346e-16
 2.3974524e-16]","[3.3437248e-17 0.0000000e+00 2.7308609e-17 ... 2.3308608e-16 3.1766361e-16
 3.9194393e-16]"
